uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
7,長岡秀樹,左,.288,143,611,566,63,163,13,8.0,25,1,6,1-4-0,208,58,70,29,2,3,10,3,4,1,80.0,9,0,6,.322,.324,.367,0.692,175cm,82kg
9,塩見泰隆,右,.267,31,113,101,15,27,4,14.8,3,0,3,2-1-0,39,8,16,9,3,2,0,1,3,0,100.0,0,0,1,.235,.336,.386,0.722,180cm,81kg
10,宮本丈,左,.259,60,164,147,12,38,3,7.9,3,0,0,-,41,6,25,11,0,1,4,1,1,0,100.0,0,0,3,.250,.313,.279,0.591,181cm,82kg
13,オスナ,右,.267,141,585,539,54,144,10,6.9,28,0,17,13-2-0,223,72,91,40,3,3,0,3,0,3,0.0,11,0,24,.293,.320,.414,0.733,188cm,104kg
23,青木宣親,左,.229,72,129,118,9,27,2,7.4,5,0,0,-,32,9,17,10,2,0,0,1,2,0,100.0,1,0,7,.162,.287,.271,0.558,N/A,N/A
25,サンタナ,右,.315,122,484,419,57,132,10,7.6,29,0,17,12-5-0,212,70,101,57,1,4,0,4,2,1,66.7,4,0,8,.324,.399,.506,0.905,195cm,104kg
27,中村悠平,右,.237,96,353,291,16,69,4,5.8,9,0,0,-,78,23,54,30,5,4,26,2,0,0,-,2,4,7,.286,.315,.268,0.583,176cm,79kg
30,西田明央,右,.136,24,24,22,0,3,0,0.0,1,0,0,-,4,2,2,1,0,0,0,1,0,0,-,0,0,1,.143,.167,.182,0.348,N/A,N/A
31,山崎晃大朗,左,.133,22,39,30,4,4,0,0.0,0,0,0,-,4,1,13,3,0,0,6,0,1,0,100.0,1,0,0,.143,.212,.133,0.345,N/A,N/A
32,松本直樹,右,.269,60,142,134,5,36,2,5.6,7,0,1,1-0-0,46,11,18,4,0,0,3,1,1,0,100.0,1,2,3,.357,.288,.343,0.631,177cm,82kg
33,内山壮真,右,.192,24,54,52,2,10,0,0.0,1,0,0,-,11,3,13,1,0,1,0,0,1,0,100.0,0,1,2,.286,.222,.212,0.434,172cm,76kg
38,北村拓己,右,.125,48,49,40,2,5,0,0.0,0,0,1,0-1-0,8,4,8,5,0,1,1,2,2,1,66.7,2,0,2,.154,.229,.200,0.429,181cm,90kg
42,澤井廉,左,.160,12,27,25,1,4,1,25.0,0,0,1,1-0-0,7,4,12,0,0,1,1,0,0,0,-,0,0,0,.333,.192,.280,0.472,180cm,94kg
46,太田賢吾,左,.204,18,50,49,5,10,1,10.0,1,1,0,-,13,5,14,1,0,0,0,0,0,0,-,1,0,0,.182,.220,.265,0.485,186cm,87kg
51,濱田太貴,右,.077,10,28,26,0,2,2,100.0,0,0,0,-,2,1,8,1,0,0,1,0,0,0,-,0,0,1,.167,.111,.077,0.188,177cm,81kg
55,村上宗隆,左,.244,143,610,500,82,122,11,9.0,13,1,33,21-9-1,236,86,180,105,9,4,0,1,10,5,66.7,15,0,6,.273,.379,.472,0.851,188cm,97kg
59,小森航大郎,右,.000,4,5,5,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,0.0,173cm,83kg
60,武岡龍世,左,.177,76,147,130,16,23,3,13.0,2,1,3,1-2-0,36,9,33,10,1,0,6,1,1,0,100.0,1,0,2,.231,.234,.277,0.511,179cm,77kg
