uniform_number,Player_name,bat_side,batting_average,games_played,plate_appearances,at_bats,runs_scored,hits,infield_hits,infield_hit_percentage,doubles,triples,home_runs,HR_decision,total_bases,RBIs,strikeouts,walks,intentional_walks,hit_by_pitch,sacrifice_hits,sacrifice_flies,stolen_bases,caught_stealing,stolen_base_percentage,errors,passed_balls,GIDP,runners_in_scoring_position,on_base_percentage,slugging_percentage,OPS,height,weight
0,林琢真,左,.167,63,114,102,11,17,2,11.8,5,1,0,-,24,7,24,8,2,1,2,1,6,3,66.7,3,0,2,.129,.232,.235,0.467,174cm,74kg
1,桑原将志,右,.270,106,321,285,35,77,5,6.5,12,0,5,5-0-0,104,24,42,19,0,4,9,4,8,0,100.0,2,0,6,.281,.321,.365,0.685,174cm,80kg
2,牧秀悟,右,.294,133,561,517,76,152,13,8.6,33,0,23,15-6-1,254,74,59,37,5,5,0,2,11,0,100.0,18,0,13,.248,.346,.491,0.837,178cm,97kg
3,オースティン,右,.316,106,445,396,66,125,5,4.0,34,2,25,15-8-0,238,69,88,45,2,0,0,4,0,1,0.0,8,0,12,.388,.382,.601,0.983,188cm,100kg
4,度会隆輝,左,.255,75,272,251,21,64,7,10.9,7,1,3,3-0-0,82,24,43,12,0,7,1,1,2,2,50.0,4,0,6,.259,.306,.327,0.633,183cm,83kg
5,松尾汐恩,右,.211,27,40,38,3,8,0,0.0,3,0,0,-,11,1,8,1,0,1,0,0,0,0,-,0,0,1,.091,.250,.289,0.539,178cm,82kg
6,森敬斗,左,.251,71,200,187,16,47,8,17.0,12,1,0,-,61,5,43,12,2,0,0,1,8,6,57.1,12,0,4,.154,.295,.326,0.621,177cm,80kg
7,佐野恵太,左,.273,139,566,524,51,143,8,5.6,34,0,8,7-1-0,201,62,53,35,3,4,0,3,0,0,-,2,0,17,.298,.322,.384,0.705,178cm,88kg
8,神里和毅,左,.130,25,25,23,3,3,0,0.0,0,0,0,-,3,0,12,1,0,1,0,0,2,0,100.0,0,0,0,.000,.200,.130,0.33,179cm,86kg
9,大和,右,.247,42,94,81,4,20,3,15.0,1,0,0,-,21,3,12,5,0,1,4,3,1,0,100.0,0,0,3,.050,.289,.259,0.548,N/A,N/A
10,戸柱恭孝,左,.244,46,97,90,4,22,1,4.5,4,0,0,-,26,4,15,5,0,1,1,0,0,0,-,0,0,5,.267,.292,.289,0.581,179cm,90kg
25,筒香嘉智,左,.188,57,168,149,12,28,1,3.6,6,3,7,7-0-0,61,23,51,16,1,2,0,1,0,0,-,0,0,5,.209,.274,.409,0.683,185cm,97kg
29,伊藤光,右,.205,39,94,88,7,18,0,0.0,4,0,1,1-0-0,25,14,24,4,0,2,0,0,0,0,-,1,1,1,.360,.255,.284,0.539,180cm,88kg
31,柴田竜拓,左,.261,82,34,23,4,6,0,0.0,0,0,0,-,6,2,7,3,1,1,7,0,1,0,100.0,4,0,0,.333,.370,.261,0.631,167cm,68kg
37,楠本泰史,左,.172,18,31,29,0,5,0,0.0,1,0,0,-,6,5,5,1,0,1,0,0,0,0,-,1,0,0,.250,.226,.207,0.433,180cm,85kg
39,西浦直亨,右,.267,8,17,15,3,4,0,0.0,0,1,0,-,6,1,5,2,1,0,0,0,0,0,-,2,0,2,.500,.353,.400,0.753,N/A,N/A
44,石上泰輝,左,.183,26,79,71,3,13,2,15.4,4,0,0,-,17,3,17,6,2,0,2,0,2,0,100.0,4,0,3,.231,.247,.239,0.486,172cm,85kg
50,山本祐大,右,.291,108,403,358,29,104,3,2.9,14,2,5,4-1-0,137,37,41,27,1,3,9,6,1,1,50.0,2,3,12,.308,.340,.383,0.723,180cm,87kg
51,宮﨑敏郎,右,.283,125,469,410,49,116,6,5.2,24,0,14,6-7-0,182,56,29,52,11,6,0,1,1,1,50.0,9,0,9,.311,.371,.444,0.815,172cm,85kg
55,井上絢登,左,.190,25,48,42,2,8,0,0.0,5,0,0,-,13,4,8,2,1,2,2,0,1,0,100.0,1,0,1,.182,.261,.310,0.57,178cm,90kg
57,東妻純平,右,.500,3,2,2,0,1,0,0.0,1,0,0,-,2,1,0,0,0,0,0,0,0,0,-,0,0,0,1.000,.500,1.000,1.5,174cm,83kg
58,梶原昂希,左,.292,91,351,339,49,99,16,16.2,16,3,4,3-1-0,133,30,98,7,3,4,1,0,16,2,88.9,1,0,2,.192,.314,.392,0.707,189cm,90kg
60,知野直人,右,.111,24,22,18,3,2,0,0.0,1,0,0,-,3,2,4,4,0,0,0,0,1,0,100.0,0,0,1,.250,.273,.167,0.439,182cm,85kg
61,蝦名達夫,右,.256,76,253,223,28,57,6,10.5,13,0,3,1-2-0,79,17,51,17,1,6,6,1,3,7,30.0,0,0,1,.191,.324,.354,0.678,185cm,88kg
63,関根大気,左,.227,79,142,128,14,29,7,24.1,2,0,0,-,31,4,19,11,0,2,1,0,2,3,40.0,1,0,2,.212,.298,.242,0.54,173cm,78kg
67,西巻賢二,右,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,167cm,70kg
98,京田陽太,左,.245,101,236,216,18,53,5,9.4,7,1,1,1-0-0,65,27,43,13,2,0,4,3,3,1,75.0,7,0,4,.309,.284,.301,0.585,184cm,90kg
99,フォード,左,.200,6,22,20,1,4,0,0.0,0,0,1,0-1-0,7,2,2,2,0,0,0,0,0,0,-,1,0,0,.250,.273,.350,0.623,N/A,N/A
11,東克樹,左,.098,26,63,51,3,5,1,20.0,0,0,0,-,5,1,16,4,0,0,8,0,0,0,-,1,0,1,.133,.164,.098,0.262,170cm,80kg
13,伊勢大夢,右,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,94kg
14,石田健大,左,.083,6,13,12,0,1,0,0.0,0,0,0,-,1,0,7,0,0,0,1,0,0,0,-,0,0,0,.000,.083,.083,0.167,180cm,85kg
15,徳山壮磨,右,-,29,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,183cm,87kg
16,大貫晋一,右,.083,15,30,24,1,2,0,0.0,0,0,0,-,2,0,9,1,0,0,5,0,0,0,-,1,0,0,.000,.120,.083,0.203,181cm,76kg
17,三嶋一輝,両,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,175cm,80kg
18,小園健太,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,90kg
19,山﨑康晃,右,-,38,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,179cm,88kg
20,坂本裕哉,左,-,48,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,0.0,180cm,87kg
24,吉野光樹,右,.000,7,13,9,0,0,0,-,0,0,0,-,0,0,5,2,0,0,2,0,0,0,-,0,0,0,.000,.182,.000,0.182,176cm,80kg
26,濵口遥大,左,.214,11,15,14,1,3,1,33.3,0,0,0,-,3,0,7,1,0,0,0,0,0,0,-,4,0,0,.000,.267,.214,0.481,173cm,80kg
27,上茶谷大河,右,.000,18,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,0.0,182cm,83kg
34,松本凌人,右,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,185cm,92kg
38,森唯斗,右,.250,14,5,4,0,1,1,100.0,0,0,0,-,1,0,3,0,0,0,1,0,0,0,-,0,0,0,.000,.250,.250,0.5,175cm,91kg
40,松本隆之介,左,.000,1,3,2,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,0.0,188cm,94kg
41,佐々木千隼,右,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,0.0,181cm,83kg
