背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
65,鈴木叶,右,.500,2,4,4,0,2,0,0.0,0,0,0,-,2,2,1,0,0,0,0,0,0,0,-,0,0,0,.500,.500,.500,1.000
67,伊藤琉偉,右,.000,6,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
93,橋本星哉,左,.000,1,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
投手打撃成績
12,石山泰稚,右,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
16,原樹理,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
17,清水昇,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
18,奥川恭伸,右,.000,7,10,9,0,0,0,-,0,0,0,-,0,0,5,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,.000
19,石川雅規,左,.111,9,12,9,0,1,0,0.0,0,0,0,-,1,0,4,0,0,0,3,0,0,0,-,1,0,0,.000,.111,.111,.222
20,木澤尚文,右,-,55,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
21,吉村貢司郎,右,.048,23,48,42,1,2,0,0.0,0,0,0,-,2,0,19,2,0,0,4,0,0,0,-,0,0,1,.000,.091,.048,.139
24,星知弥,右,-,36,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
26,山野太一,左,.000,14,14,10,0,0,0,-,0,0,0,-,0,1,5,0,0,0,4,0,0,0,-,1,0,0,.000,.000,.000,.000
28,松本健吾,右,.000,3,4,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,1,0,0,0,-,0,0,0,-,.000,.000,.000
29,小川泰弘,右,.167,12,25,18,1,3,0,0.0,0,0,0,-,3,2,5,1,0,0,6,0,0,0,-,0,0,1,.000,.211,.167,.377
34,田口麗斗,左,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
35,石原勇輝,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
37,ロドリゲス,右,.000,32,2,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,1,0,0,0,-,0,0,0,-,.000,.000,.000
39,エスパーダ,右,-,24,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
40,高梨裕稔,右,.000,8,10,9,0,0,0,-,0,0,0,-,0,0,5,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,.000
41,柴田大地,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
43,山本大貴,左,-,44,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
44,大西広樹,右,.000,60,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,.000
45,小澤怜史,左,.154,40,15,13,0,2,0,0.0,0,0,0,-,2,0,4,0,0,0,2,0,0,0,-,0,0,0,.000,.154,.154,.308
47,高橋奎二,左,.158,21,40,38,2,6,2,33.3,0,0,0,-,6,0,16,1,0,0,1,0,0,0,-,0,0,0,.111,.179,.158,.337
48,金久保優斗,左,.000,5,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
49,嘉弥真新也,左,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
52,尾仲祐哉,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
53,長谷川宙輝,左,.000,19,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
54,サイスニード,右,.107,24,36,28,1,3,0,0.0,1,0,0,-,4,1,12,0,0,0,8,0,0,0,-,1,0,0,.125,.107,.143,.250
58,阪口皓亮,左,.000,2,3,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,.000
61,宮川哲,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
68,丸山翔大,左,-,27,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
69,今野龍太,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
99,ヤフーレ,両,.028,23,40,36,0,1,0,0.0,0,0,0,-,1,0,18,0,0,0,4,0,0,0,-,2,0,1,.000,.028,.028,.056
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.243,143,5277,4796,373,1166,129,11.1%,178,18,68,-,1584,358,1046,322,24,25,113,21,40,27,59.7%,68,4,106,.226,.293,.330,.623
00,尾田剛樹,左,.000,65,12,11,8,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,4,5,44.4,0,0,0,.000,.000,.000,.000
1,岡林勇希,左,.256,123,460,425,34,109,13,11.9,10,3,0,-,125,12,62,29,2,0,6,0,10,7,58.8,0,0,2,.187,.304,.294,.598
2,田中幹也,右,.224,112,343,313,26,70,4,5.7,8,2,2,1-0-1,88,23,46,20,1,0,10,0,5,1,83.3,4,0,3,.250,.270,.281,.551
3,高橋周平,左,.260,60,190,173,8,45,5,11.1,6,0,2,1-1-0,57,16,40,13,2,1,3,0,0,1,0.0,9,0,7,.318,.316,.329,.645
4,鵜飼航丞,右,.185,12,27,27,1,5,0,0.0,2,0,0,-,7,3,10,0,0,0,0,0,0,0,-,0,0,1,.167,.185,.259,.444
5,村松開人,左,.275,109,418,371,35,102,18,17.6,14,3,1,1-0-0,125,25,81,26,1,4,14,3,3,4,42.9,5,0,7,.195,.327,.337,.664
6,中田翔,右,.217,62,225,212,15,46,5,10.9,10,0,4,0-4-0,68,21,34,9,2,1,0,3,0,0,-,1,0,9,.190,.249,.321,.570
7,根尾昂,左,.500,3,2,2,0,1,0,0.0,1,0,0,-,2,1,1,0,0,0,0,0,0,0,-,1,0,0,-,.500,1.000,1.500
8,大島洋平,左,.198,75,125,116,7,23,3,13.0,6,0,0,-,29,5,11,9,1,0,0,0,1,1,50.0,0,0,0,.235,.256,.250,.506
9,中島宏之,右,.000,15,15,13,0,0,0,-,0,0,0,-,0,1,7,0,0,2,0,0,0,0,-,0,0,1,.000,.133,.000,.133
25,石川昂弥,右,.272,82,275,254,17,69,6,8.7,16,0,4,1-3-0,97,25,37,17,0,2,0,2,0,0,-,1,0,9,.241,.320,.382,.702
29,辻本倫太郎,右,.167,13,20,18,0,3,0,0.0,0,0,0,-,3,0,0,1,1,0,1,0,0,0,-,3,0,1,.000,.211,.167,.377
30,三好大倫,左,.220,37,90,82,6,18,2,11.1,2,1,0,-,22,4,22,5,0,1,1,1,0,0,-,1,0,2,.125,.270,.268,.538
32,石垣雅海,右,.200,9,10,10,0,2,0,0.0,1,0,0,-,3,0,0,0,0,0,0,0,1,0,100.0,0,0,0,-,.200,.300,.500
35,木下拓哉,右,.228,74,203,180,11,41,5,12.2,4,0,3,3-0-0,54,9,26,9,0,0,14,0,0,0,-,1,2,9,.167,.265,.300,.565
39,宇佐見真吾,左,.303,61,164,152,7,46,2,4.3,8,0,3,3-0-0,63,17,38,9,0,0,1,2,0,0,-,1,2,5,.344,.337,.414,.752
42,ブライト健太,右,.239,35,51,46,3,11,1,9.1,0,0,2,1-1-0,17,3,16,5,0,0,0,0,0,0,-,0,0,0,.111,.314,.370,.683
43,味谷大誠,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
44,川越誠司,左,.268,27,75,71,4,19,3,15.8,3,0,2,2-0-0,28,7,17,4,0,0,0,0,0,0,-,1,0,2,.200,.307,.394,.701
45,龍空,左,.159,17,45,44,1,7,0,0.0,1,0,0,-,8,2,11,1,0,0,0,0,1,0,100.0,0,0,0,.429,.178,.182,.360
49,加藤匠馬,右,.171,86,133,123,5,21,0,0.0,3,2,0,-,28,5,41,2,0,0,8,0,0,0,-,1,0,4,.139,.184,.228,.412
51,上林誠知,左,.191,46,102,94,6,18,6,33.3,1,1,1,0-1-0,24,3,22,7,1,0,1,0,0,0,-,0,0,0,.188,.248,.255,.503
53,後藤駿太,左,.125,29,35,32,1,4,0,0.0,0,0,0,-,4,1,9,2,0,0,1,0,0,0,-,0,0,0,.000,.176,.125,.301
55,細川成也,右,.292,143,600,534,59,156,13,8.3,30,0,23,15-7-1,255,67,159,60,3,5,0,1,0,1,0.0,4,0,13,.282,.368,.478,.846
57,山浅龍之介,左,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
58,石橋康太,右,.208,11,29,24,1,5,0,0.0,2,0,0,-,7,3,7,1,1,0,3,1,0,0,-,1,0,1,.125,.231,.292,.522
60,山本泰寛,右,.250,79,179,156,14,39,2,5.1,3,0,1,0-1-0,45,9,33,15,0,0,6,2,1,1,50.0,5,0,1,.278,.312,.288,.601
