背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
33,杉澤龍,左,.053,28,21,19,0,1,0,0.0,0,0,0,-,1,0,6,0,0,0,2,0,0,0,-,1,0,0,.000,.053,.053,.105
34,横山聖哉,左,.150,12,40,40,2,6,1,16.7,1,0,0,-,7,0,16,0,0,0,0,0,0,0,-,3,0,1,.000,.150,.175,.325
36,山足達也,右,.133,43,18,15,5,2,0,0.0,0,0,0,-,2,0,3,3,1,0,0,0,2,0,100.0,1,0,0,.000,.278,.133,.411
37,石川亮,右,.143,13,8,7,0,1,0,0.0,1,0,0,-,2,0,2,1,0,0,0,0,0,0,-,1,0,0,.000,.250,.286,.536
38,来田涼斗,左,.212,54,189,170,14,36,5,13.9,7,2,2,0-2-0,53,11,49,10,0,2,7,0,4,4,50.0,4,0,4,.310,.264,.312,.576
39,池田陵真,右,.174,8,23,23,0,4,1,25.0,0,0,0,-,4,0,4,0,0,0,0,0,0,0,-,0,0,1,.000,.174,.174,.348
40,セデーニョ,右,.260,98,334,304,29,79,5,6.3,9,0,15,6-8-0,133,37,97,23,5,5,0,2,0,2,0.0,0,0,15,.200,.320,.438,.758
41,佐野皓大,右,.000,4,2,2,1,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,1,0.0,0,0,1,-,.000,.000,.000
44,頓宮裕真,右,.197,81,290,249,17,49,2,4.1,7,1,7,3-4-0,79,30,57,32,1,7,0,2,0,0,-,4,0,8,.180,.303,.317,.621
45,トーマス,左,.000,10,18,18,0,0,0,-,0,0,0,-,0,0,7,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
50,小田裕也,左,.214,20,15,14,3,3,0,0.0,1,1,0,-,6,0,5,1,0,0,0,0,0,0,-,0,0,1,.000,.267,.429,.695
53,宜保翔,左,.250,22,14,12,2,3,0,0.0,0,0,0,-,3,0,3,2,0,0,0,0,1,0,100.0,3,0,0,.000,.357,.250,.607
55,T-岡田,左,.125,4,9,8,0,1,0,0.0,0,0,0,-,1,0,3,1,0,0,0,0,0,0,-,0,0,0,.000,.222,.125,.347
61,茶野篤政,左,.269,16,57,52,6,14,3,21.4,2,1,0,-,18,6,13,3,0,0,1,1,5,0,100.0,1,0,0,.462,.304,.346,.650
64,大里昂生,左,.235,51,176,153,11,36,2,5.6,4,2,2,2-0-0,50,8,26,14,0,1,8,0,5,2,71.4,5,0,1,.333,.304,.327,.630
67,中川圭太,右,.231,60,233,216,24,50,6,12.0,12,0,2,1-1-0,68,16,24,13,0,0,2,2,3,1,75.0,2,0,3,.286,.273,.315,.588
99,杉本裕太郎,右,.233,82,239,219,17,51,6,11.8,7,0,11,6-4-0,91,27,56,15,1,4,0,1,1,0,100.0,1,0,5,.293,.293,.416,.708
投手打撃成績
00,エスピノーザ,右,.000,22,4,4,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,.000
11,山下舜平大,右,-,14,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
12,東晃平,右,.000,10,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
13,宮城大弥,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
14,宇田川優希,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
15,椋木蓮,右,-,10,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
16,平野佳寿,右,-,12,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
17,曽谷龍平,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
19,山岡泰輔,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
20,阿部翔太,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
21,山﨑颯一郎,右,-,7,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
22,村西良太,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
23,吉田輝星,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
26,齋藤響介,右,.000,8,4,4,0,0,0,-,0,0,0,-,0,0,4,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,.000
28,富山凌雅,左,-,16,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
29,田嶋大樹,左,.000,21,3,3,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
35,比嘉幹貴,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
42,マチャド,右,-,53,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
43,前佑囲斗,右,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
46,本田仁海,左,-,23,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
52,横山楓,両,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
54,カスティーヨ,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
56,小木田敦也,右,-,13,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
57,山田修義,左,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
58,井口和朋,右,-,33,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
59,ペルドモ,右,-,28,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
66,鈴木博志,右,-,32,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
93,佐藤一磨,左,.000,5,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,2,0,0,-,.000,.000,.000
94,川瀬堅斗,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
95,才木海翔,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
96,髙島泰都,右,.000,21,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
97,古田島成龍,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
98,権田琉成,右,-,0,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.248,143,5386,4791,493,1186,132,11.1%,217,15,75,-,1658,468,923,429,18,36,93,37,64,14,82.1%,71,7,105,.253,.312,.346,.658
00,池田来翔,右,.111,21,46,45,2,5,1,20.0,2,0,0,-,7,1,7,1,0,0,0,0,0,0,-,1,0,2,.143,.130,.156,.286
0,荻野貴司,右,.279,80,213,197,25,55,10,18.2,6,1,1,1-0-0,66,15,15,10,1,2,4,0,0,0,-,1,0,6,.250,.321,.335,.656
1,藤原恭大,左,.290,74,264,231,30,67,8,11.9,8,4,2,1-1-0,89,21,39,25,0,3,3,2,4,1,80.0,0,0,2,.296,.364,.385,.749
2,松川虎生,右,.250,2,4,4,0,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,.500,.250,.250,.500
3,角中勝也,左,.280,84,217,189,21,53,5,9.4,12,2,3,3-0-0,78,20,37,24,1,1,1,2,0,0,-,1,0,4,.282,.361,.413,.774
4,友杉篤輝,右,.206,125,393,355,33,73,13,17.8,10,0,0,-,83,15,52,17,0,0,19,2,11,2,84.6,14,0,5,.192,.241,.234,.474
5,安田尚憲,左,.228,55,174,158,14,36,2,5.6,13,0,0,-,49,15,48,13,0,0,0,3,0,0,-,2,0,4,.250,.282,.310,.592
7,藤岡裕大,左,.256,90,369,312,31,80,2,2.5,13,1,5,2-3-0,110,29,58,46,1,2,7,2,0,0,-,5,0,4,.214,.354,.353,.706
8,中村奨吾,右,.234,120,433,376,36,88,7,8.0,18,0,4,2-1-1,118,27,75,41,0,5,11,0,2,2,50.0,9,0,15,.178,.318,.314,.631
10,上田希由翔,左,.259,21,64,58,3,15,5,33.3,3,0,0,-,18,7,9,2,0,2,1,1,0,0,-,3,0,0,.357,.302,.310,.612
22,ポランコ,左,.243,118,468,416,47,101,7,6.9,21,0,23,11-8-1,191,60,86,46,2,2,0,4,0,0,-,1,0,5,.238,.318,.459,.778
23,石川慎吾,右,.211,33,93,90,2,19,3,15.8,3,0,1,1-0-0,25,5,19,3,0,0,0,0,0,0,-,2,0,3,.174,.237,.278,.514
25,岡大海,右,.287,103,420,362,52,104,11,10.6,28,2,7,4-2-0,157,33,64,44,6,7,4,3,11,3,78.6,0,0,9,.291,.373,.434,.806
27,田村龍弘,右,.200,51,160,140,11,28,1,3.6,10,0,0,-,38,14,27,14,0,0,4,2,0,0,-,3,1,2,.257,.269,.271,.541
32,佐藤都志也,左,.278,116,452,410,41,114,10,8.8,20,0,5,5-0-0,149,45,51,29,2,3,4,6,4,1,80.0,5,5,10,.287,.326,.363,.689
38,髙部瑛斗,左,.300,76,287,260,37,78,21,26.9,12,3,1,0-1-0,99,23,43,19,2,1,5,2,10,4,71.4,1,0,3,.333,.348,.381,.728
39,大下誠一郎,右,.150,22,22,20,1,3,1,33.3,1,0,0,-,4,1,4,1,0,0,1,0,0,0,-,0,0,0,.286,.190,.200,.390
50,愛斗,右,.188,52,76,69,4,13,2,15.4,2,0,0,-,15,3,14,4,0,1,2,0,0,0,-,1,0,3,.174,.243,.217,.461
51,山口航輝,右,.200,51,181,170,10,34,3,8.8,8,0,2,0-2-0,48,13,30,10,0,1,0,0,1,0,100.0,2,0,6,.227,.249,.282,.531
55,柿沼友哉,右,.000,3,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
57,小川龍成,左,.241,119,313,261,33,63,16,25.4,2,0,0,-,65,21,52,30,1,0,20,2,10,1,90.9,5,0,2,.313,.317,.249,.566
61,山本大斗,右,.111,5,19,18,0,2,0,0.0,1,0,0,-,3,0,4,1,0,0,0,0,0,0,-,0,0,0,.000,.158,.167,.325
63,和田康士朗,左,.150,88,71,60,12,9,1,11.1,0,0,0,-,9,8,13,6,0,1,3,1,11,0,100.0,1,0,0,.182,.235,.150,.385
65,寺地隆成,左,.143,2,7,7,0,1,0,0.0,1,0,0,-,2,0,4,0,0,0,0,0,0,0,-,0,1,0,.000,.143,.286,.429
67,茶谷健太,右,.167,88,76,72,5,12,0,0.0,1,0,0,-,13,4,18,1,0,0,2,1,0,0,-,2,0,1,.091,.176,.181,.356
99,ソト,右,.269,132,542,491,43,132,3,2.3,22,2,21,13-6-1,221,88,136,42,2,5,0,4,0,0,-,3,0,19,.321,.330,.450,.780
投手打撃成績
11,澤村拓一,右,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
12,石川歩,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
14,小島和哉,左,.000,25,4,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,0,0,0,.000,.000,.000,.000
15,美馬学,左,.000,3,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
16,種市篤暉,右,.000,23,5,4,0,0,0,-,0,0,0,-,0,0,4,0,0,0,1,0,0,0,-,1,0,0,-,.000,.000,.000
17,佐々木朗希,右,.000,18,3,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,1,0,0,.000,.000,.000,.000
19,唐川侑己,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
24,東妻勇輔,右,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
28,菊地吏玖,左,-,20,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
29,西野勇士,右,.000,20,3,3,0,0,0,-,0,0,0,-,0,0,3,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
30,廣畑敦也,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
31,大谷輝龍,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
33,八木彬,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
34,高野脩汰,左,-,6,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
35,田中晴也,左,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
36,坂本光士郎,左,-,37,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
37,小野郁,右,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
40,西村天裕,右,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
41,カイケル,左,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
42,メルセデス,両,.000,21,2,2,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,2,0,0,.000,.000,.000,.000
46,岩下大輝,右,-,21,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
47,鈴木昭汰,左,-,51,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
48,中村稔弥,左,-,17,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
52,益田直也,右,-,44,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
56,中森俊介,左,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
60,横山陸人,右,-,43,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
66,澤田圭佑,左,.000,21,1,1,0,0,0,-,0,0,0,-,0,0,1,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
69,コルデロ,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
91,二保旭,右,-,8,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
92,国吉佑樹,右,-,41,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
93,吉田凌,右,-,9,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
41,ダイクストラ,左,-,3,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.259,143,5436,4798,607,1244,88,7.1%,242,31,114,-,1890,584,1085,436,23,64,105,32,89,31,74.2%,53,6,93,.268,.327,.394,.721
0,川瀬晃,左,.261,105,156,138,17,36,4,11.1,2,2,0,-,42,7,24,7,1,0,10,1,2,2,50.0,1,0,0,.235,.295,.304,.599
3,近藤健介,左,.314,129,535,436,66,137,7,5.1,29,2,19,12-3-1,227,72,76,92,11,6,0,1,11,1,91.7,1,0,10,.324,.439,.521,.960
4,ダウンズ,右,.273,7,26,22,3,6,0,0.0,0,0,1,1-0-0,9,2,1,2,0,2,0,0,1,0,100.0,1,0,0,1.000,.385,.409,.794
6,今宮健太,右,.262,133,538,462,60,121,8,6.6,25,4,6,4-2-0,172,39,87,46,2,3,25,2,1,0,100.0,4,0,9,.243,.331,.372,.704
7,中村晃,左,.221,101,203,181,15,40,2,5.0,4,0,0,-,44,16,24,19,1,1,1,1,0,1,0.0,1,0,6,.224,.297,.243,.540
8,牧原大成,左,.283,78,259,240,26,68,6,8.8,7,4,2,1-1-0,89,13,41,8,0,1,9,1,6,4,60.0,7,0,2,.222,.308,.371,.679
9,柳田悠岐,左,.286,52,225,185,31,53,4,7.5,7,1,4,4-0-0,74,35,36,35,3,3,0,2,3,0,100.0,1,0,2,.367,.404,.400,.804
12,嶺井博希,右,.500,4,6,6,2,3,0,0.0,0,0,1,1-0-0,6,3,1,0,0,0,0,0,0,0,-,0,0,0,.500,.500,1.000,1.500
13,三森大貴,左,.288,25,71,66,6,19,1,5.3,2,0,1,1-0-0,24,13,10,4,0,0,1,0,2,1,66.7,4,0,1,.417,.329,.364,.692
19,甲斐拓也,右,.256,119,392,344,34,88,3,3.4,25,0,5,5-0-0,128,43,89,31,0,1,14,2,1,1,50.0,1,4,6,.298,.317,.372,.690
23,周東佑京,左,.269,123,477,428,63,115,19,16.5,15,5,2,2-0-0,146,26,90,26,0,10,10,3,41,13,75.9,1,0,4,.247,.323,.341,.664
24,栗原陵矢,左,.273,140,598,527,74,144,8,5.6,40,2,20,12-7-0,248,87,99,49,1,5,10,7,2,1,66.7,8,0,10,.269,.337,.471,.807
25,山川穂高,右,.247,143,611,550,66,136,2,1.5,26,1,34,22-6-0,266,99,158,48,3,10,0,3,0,0,-,5,0,17,.247,.318,.484,.801
28,ウォーカー,右,.169,20,66,65,2,11,2,18.2,3,0,1,1-0-0,17,3,19,0,0,1,0,0,1,0,100.0,0,0,1,.105,.182,.262,.443
30,佐藤直樹,右,.190,44,93,84,7,16,4,25.0,3,1,0,-,21,6,30,4,0,3,1,1,3,3,50.0,1,0,0,.278,.250,.250,.500
31,正木智也,右,.270,80,282,263,21,71,5,7.0,21,0,7,7-0-0,113,29,65,11,0,5,1,2,1,0,100.0,2,0,4,.356,.310,.430,.739
32,柳町達,左,.269,73,237,216,26,58,1,1.7,11,5,4,3-1-0,91,40,65,14,0,1,4,2,1,0,100.0,0,0,4,.387,.313,.421,.735
33,廣瀨隆太,右,.233,35,111,103,9,24,3,12.5,4,0,2,2-0-0,34,9,17,5,0,2,0,1,0,1,0.0,2,0,6,.171,.279,.330,.609
43,井上朋也,右,.000,5,10,10,0,0,0,-,0,0,0,-,0,0,5,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
44,笹川吉康,左,.286,7,21,21,3,6,0,0.0,0,0,1,1-0-0,9,2,6,0,0,0,0,0,2,1,66.7,0,0,0,.333,.286,.429,.714
45,谷川原健太,左,.444,4,10,9,3,4,0,0.0,1,1,0,-,7,2,2,0,0,1,0,0,0,0,-,0,0,0,.000,.500,.778,1.278
52,リチャード,右,.226,15,33,31,0,7,1,14.3,3,0,0,-,10,1,12,1,0,1,0,0,0,0,-,0,0,3,.500,.273,.323,.595
55,石塚綜一郎,右,.194,15,40,31,2,6,0,0.0,0,0,1,0-1-0,9,6,10,3,0,4,0,1,0,0,-,1,0,0,.154,.333,.290,.624
57,緒方理貢,左,.173,86,62,52,19,9,1,11.1,1,1,0,-,12,4,10,7,0,0,3,0,4,1,80.0,1,0,2,.214,.271,.231,.502
61,川村友斗,左,.268,88,140,123,27,33,3,9.1,8,2,1,1-0-0,48,14,43,10,0,3,3,1,3,1,75.0,0,0,1,.256,.336,.390,.726
62,海野隆司,右,.173,51,120,104,10,18,1,5.6,5,0,2,2-0-0,29,10,30,6,0,1,9,0,0,0,-,1,2,3,.167,.225,.279,.504
64,吉田賢吾,右,.192,10,27,26,2,5,0,0.0,0,0,0,-,5,2,4,0,0,0,0,1,0,0,-,0,0,0,.000,.185,.192,.377
69,仲田慶介,両,.214,24,16,14,2,3,1,33.3,0,0,0,-,3,0,3,1,0,0,1,0,0,0,-,0,0,1,.000,.267,.214,.481
99,野村勇,右,.116,38,50,43,9,5,1,20.0,0,0,0,-,5,1,18,6,1,0,1,0,4,0,100.0,1,0,1,.143,.224,.116,.341
55,野村大樹,右,.000,2,2,2,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,.000,.000,.000
投手打撃成績
2,スチュワート・ジュニア,右,.000,20,2,2,0,0,0,-,0,0,0,-,0,0,2,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
11,津森宥紀,右,-,48,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
14,又吉克樹,右,-,40,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,2,0,0,-,-,-,.000
16,東浜巨,右,.000,11,3,2,1,0,0,-,0,0,0,-,0,0,1,1,0,0,0,0,0,0,-,0,0,0,.000,.333,.000,.333
17,有原航平,右,.000,26,4,3,0,0,0,-,0,0,0,-,0,0,2,0,0,0,1,0,0,0,-,2,0,0,-,.000,.000,.000
20,中村亮太,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
21,和田毅,左,-,8,1,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,1,0,0,0,-,0,0,0,-,-,-,.000
26,大津亮介,左,-,19,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
27,岩井俊介,右,-,15,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
29,石川柊太,右,.000,15,1,1,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,.000,.000,.000,.000
34,村田賢一,右,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
35,モイネロ,左,.250,25,4,4,1,1,0,0.0,0,0,0,-,1,0,3,0,0,0,0,0,0,0,-,0,0,0,-,.250,.250,.500
38,澤柳亮太郎,右,-,11,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
39,尾形崇斗,左,-,12,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
40,杉山一樹,右,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
41,前田悠伍,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
42,三浦瑞樹,右,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
47,大関友久,左,.250,20,4,4,0,1,1,100.0,0,0,0,-,1,0,2,0,0,0,0,0,0,0,-,1,0,0,.000,.250,.250,.500
48,藤井皓哉,左,-,40,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
49,松本晴,左,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
51,前田純,左,-,1,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
53,大山凌,右,-,18,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
54,オスナ,右,-,39,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
56,田浦文丸,左,-,4,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
59,長谷川威展,左,-,32,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,1,0,0,-,-,-,.000
63,ヘルナンデス,左,-,48,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
66,松本裕樹,左,-,50,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
68,木村光,左,-,5,0,0,0,0,0,-,0,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,-,-,-,.000
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
背番,名前,席,打率,試合,打席,打数,得点,安打,内安,内安率,２Ｂ,３Ｂ,本塁,HR勝敗,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
合計,.242,143,5350,4746,492,1149,107,9.3%,165,40,72,-,1610,459,977,389,12,45,126,43,90,26,77.6%,64,4,81,.267,.303,.339,.642
0,小深田大翔,左,.229,134,522,450,50,103,18,17.5,9,4,3,2-1-0,129,23,84,42,0,2,25,3,29,10,74.4,5,0,5,.238,.296,.287,.582
2,太田光,右,.196,94,269,230,23,45,3,6.7,10,3,2,2-0-0,67,23,58,13,1,2,23,1,2,0,100.0,3,0,1,.233,.244,.291,.535
